answers;H;(H);(Hd);A;(A);Ad;At;Sex;Obj;Aobj;Aat;Food;N;Geo;Pi;Arch;Art;Abs;Bi;Ti;Ci
"Рисунок мифического кербера, стоящего на страже врата подземного царства.";;;;;1;;;;;;;;;;;;;;;;
"Изображение загадочного леший, сидящего в тени деревьев и наблюдающего за прохожими.";;;;;1;;;;;;;;1;;;;;;;;
"Карикатурный портрет забавного тролля с большим носом и ушами, усаживающегося в лесной чаще.";;;;;1;;;;;;;;1;;;;;;;;
"Рисунок мифической феи, летающей на крыльях мечты и заклинаний.";;;;;1;;;;;;;;;;;;;;;;
"Изображение страшного кракена, выплывающего из глубин морской пучины.";;;;;1;;;;;;;;;;;;;;;;
Карикатурный рисунок дружелюбного гарпии с огромными крыльями и улыбающимся лицом.;;;;;1;;;;;;;;;;;;;;;;
"Рисунок мифического дракона, затаившегося в своем логове и ждущего своей добычи.";;;;;1;;;;;;;;;;;;;;;;
"Изображение загадочного сфинкса, сидящего на своем троне и придумывающего загадки.";;;;;1;;;;;;;;;;;;;;;;
Карикатурный портрет веселого гнома с ковшом золота и улыбкой на лице.;;;;;1;;;;;;;;;;;;;;;;
"Рисунок мифической сирены, плавающей в водах океана и соблазняющей моряков своими песнями.";;;;;1;;;;;;;;;;;;;;;;
"Изображение страшного басилиска, окаменевающего всех, кто осмеливается взглянуть ему в глаза.";;;;;1;;;;;;;;;;;;;;;;
Карикатурный рисунок забавного лепрекона с ковшом золота и смешной улыбкой.;;;;;1;;;;;;;;;;;;;;;;
"Рисунок мифического кентавра-воина, прицеливающегося из своего лука.";;;;;1;;;;;;;;;;;;;;;;
"Изображение загадочного гаргульи, стоящего на краю крыши и смотрящего на город.";;;;;1;;;;;;;;;;;1;;;;;
"Рисунок мифического феникса, восстающего из пепла своего гнезда.";;;;;1;;;;;;;;;;;;;;;;
Карикатурный рисунок веселого гарпии с мягкими перьями и дружелюбным взглядом.;;;;;1;;;;;;;;;;;;;;;;
"Изображение загадочной сирены, плавающей в океане и соблазняющей моряков своими песнями.";;;;;1;;;;;;;;;;;;;;;;
Карикатурный портрет веселого лепрекона с золотым ковшом и улыбкой на лице.;;;;;1;;;;;;;;;;;;;;;;
"Рисунок мифического кербера, стоящего на страже входа в подземное царство.";;;;;1;;;;;;;;;;;;;;;;
"Изображение загадочного леший, скрывающегося в лесной чаще и наблюдающего за прохожими.";;;;;1;;;;;;;;1;;;;;;;;
"Карикатурный рисунок дружелюбного гоблина с большим носом и ушами, усаживающегося в темных уголках.";;;;;1;;;;;;;;;;;;;;;;
"Рисунок мифической феи, летающей на крыльях волшебства и дарующей удачу.";;;;;1;;;;;;;;;;;;;;;;
"Острая морда пумы, напряжённая в предвкушении охоты.";;;;;;1;;;;;;;;;;;;;;;
"Ласковый взгляд собачьих глаз, полных преданности.";;;;;;1;;;;;;;;;;;;;;;
"Грациозные лапы гепарда, готовые развить невероятную скорость.";;;;;;1;;;;;;;;;;;;;;;
"Величественные рога оленя, украшенные тонкими ветвями.";;;;;;1;;;;;;;;;1;;;;;;
"Морщинистый нос слона, способный обнаружить даже самый слабый запах.";;;;;;1;;;;;;;;;;;;;;;
"Хищные клыки тигра, готовые разорвать добычу на части.";;;;;;1;;;;;;;;;;;;;;;
"Нежные мордашки котенка, выражающие беззаботную игривость.";;;;;;1;;;;;;;;;;;;;;;
"Беспокойные уши зайца, всегда настороженные на случай опасности.";;;;;;1;;;;;;;;;;;;;;;
"Мощные челюсти крокодила, способные с легкостью разломать даже костяную добычу.";;;;;;1;;;;;;;;;;;;;;;
"Подвижные усы мышей, помогающие им ориентироваться в темноте.";;;;;;1;;;;;;;;;;;;;;;
"Пышная грива льва, символ его силы и могущества.";;;;;;1;;;;;;;;;;;;;;;
"Длинный и гибкий язык жирафа, помогающий ему достать сочные листья с верхушек деревьев.";;;;;;1;;;;;;;;;1;;;;;;
"Переплетение окраски в шкуре зебры, создающее иллюзию непрерывности.";;;;;;1;;;;;;;;;;;;;;;
"Задумчивый взгляд птичьих глаз, погружённых в размышления.";;;;;;1;;;;;;;;;;;;;;;
"Шершавый язык кошачьего, облизывающий свою шерсть после сна.";;;;;;1;;;;;;;;;;;;;;;
"Море щупалец осьминога, испытывающих окружающее пространство.";;;;;;1;;;;;;;;;;;;;;;
"Острые когти рыболовного орла, предназначенные для захвата добычи из воды.";;;;;;1;;;;;;;;;;;;;;;
"Мягкий и теплый носик щенка, пригодный для нежных прикосновений.";;;;;;1;;;;;;;;;;;;;;;
"Жевательные зубы козы, позволяющие ей распознавать различные вкусы растений.";;;;;;1;;;;;;;;;;;;;;;
"Длинные уши лошади, реагирующие на каждый шорох в окружающей среде.";;;;;;1;;;;;;;;;;;;;;;
"Сильные лапы медведя, способные раздавить даже крепкую кору дерева.";;;;;;1;;;;;;;;;1;;;;;;
"Плавники дельфина, обеспечивающие ему изящное движение в воде.";;;;;;1;;;;;;;;;;;;;;;
"Пышная борода козла, символ его власти и достоинства.";;;;;;1;;;;;;;;;;;;;;;
"Острые клыки вампирской летучей мыши, готовые к нападению в темноте.";;;;;;1;;;;;;;;;;;;;;;
"Длинный и тонкий хвост лисицы, помогающий ей сохранять равновесие на охоте.";;;;;;1;;;;;;;;;;;;;;;
"Густой мех енота, защищающий его от холода и врагов.";;;;;;1;;;;;;;;;;;;;;;
"Гнущиеся шейные позвонки журавля, позволяющие ему изящно склонять голову.";;;;;;1;;;;;;;;;;;;;;;
"Подковы на лапах лошади, приносящие удачу и защищающие от невзгод.";;;;;;1;;;;;;;;;;;;;;;
"Переплетение рогов на голове овцы, символ её дикой природы.";;;;;;1;;;;;;;;;;;;;;;
"Дрожащие усики бабочки, ощущающие мельчайшие изменения в окружающей среде.";;;;;;1;;;;;;;;;;;;;;;
"Яркие перья павлина, привлекающие внимание самцов и самок.";;;;;;1;;;;;;;;;;;;;;;
"Могучие лапы медведя-гризли, способные разорвать даже самую прочную добычу.";;;;;;1;;;;;;;;;;;;;;;
"Зловещие клыки хищной рыбы, готовой наброситься на свою жертву.";;;;;;1;;;;;;;;;;;;;;;
"Угрюмый взгляд летучей мыши, летающей в ночном небе.";;;;;;1;;;;;;;1;;;;;;;;
"Отточенные копыта ланя, позволяющие ей плавно скользить по лесным тропинкам.";;;;;;1;;;;;;;1;;;;;;;;
"Морщинистая кожа носорога, природный щит, защищающий его от врагов.";;;;;;1;;;;;;;;;;;;;;;
"Игривый хвост котенка, символ его беспечной радости.";;;;;;1;;;;;;;;;;;;;;;
"Яркие пёрышки утки, позволяющие ей парить над водной гладью.";;;;;;1;;;;;;;;;;;;;;;
"Клыки белого тигра, олицетворение его силы и храбрости.";;;;;;1;;;;;;;;;;;;;;;
"Шершавый язык коалы, сбрасывающей листья с веток для питания.";;;;;;1;;;;;;;;;;;;;;;
"Полированные копыта лошади, отражающие солнечный свет.";;;;;;1;;;;;;;;;;;;;;;
"Пушистый хвост кролика, помогающий ему держать равновесие на склонных поверхностях.";;;;;;1;;;;;;;;;;;;;;;
"Ловкие лапы обезьяны, позволяющие ей легко перемещаться среди ветвей деревьев.";;;;;;1;;;;;;;;;;;;;;;
"Массивная челюсть кита, способная проглотить огромное количество воды с пищей.";;;;;;1;;;;;;;;;;;;;;;
"Острый клюв орла, готовый схватить добычу в свои смертоносные когти.";;;;;;1;;;;;;;;;;;;;;;
"Глаза панды, полные мудрости и доброты.";;;;;;1;;;;;;;;;;;;;;;
"Длинный язык жабы, используемый для захвата насекомых.";;;;;;1;;;;;;;;;;;;;;;
"Мохнатые лапы медведя, защищающие его от холода и острых камней.";;;;;;1;;;;;;;;;;;;;;;
"Белесые зубы акулы, символ её опасности для окружающих.";;;;;;1;;;;;;;;;;;;;;;
"Тонкая шея лебедя, изящно выгибающаяся при плавании по воде.";;;;;;1;;;;;;;;;;;;;;;
"Мощный мотор человеческого организма – сердце, бьющее ритмично и надежно.";;;;;;;1;;;;;;;;;;;;;;
Красное и мягкое сердечное мышцевое волокно.;;;;;;;1;;;;;;;;;;;;;;
"Печень, лаборатория организма, обеспечивающая пищеварение.";;;;;;;1;;;;;;;;;;;;;;
"Мозг – центр управления, комплексная система нейронов, формирующая мысли и чувства.";;;;;;;1;;;;;;;;;;;;;;
"Легкие, основной орган дыхания, обеспечивающие поступление кислорода.";;;;;;;1;;;;;;;;;;;;;;
"Селезенка, участвующая в образовании лимфоцитов.";;;;;;;1;;;;;;;;;;;;;;
"Пищевод, трубка, соединяющая рот и желудок, транспортирующая пищу.";;;;;;;1;;;;;;;;;;;;;;
"Желудок, секретирующий желудочный сок и переваривающий пищу.";;;;;;;1;;;;;;;;;;;;;;
"Почки, удаляющие отходы через мочеиспускательные пути.";;;;;;;1;;;;;;;;;;;;;;
"Стройные кишечные петли тонкого кишечника, где происходит основное всасывание питательных веществ.";;;;;;;1;;;;;;;;;;;;;;
"Толстый кишечник, место окончательной обработки пищевых остатков и образования кала.";;;;;;;1;;;;;;;;;;;;;;
"Печень, выполняющая функцию детоксикации и обмена веществ.";;;;;;;1;;;;;;;;;;;;;;
"Желчный пузырь, запасающий желчь и выделяющий её для усвоения жиров.";;;;;;;1;;;;;;;;;;;;;;
"Поджелудочная железа, выделяющая инсулин и ферменты, необходимые для переваривания пищи.";;;;;;;1;;;;;;;;;;;;;;
"Мозговые сосуды, обеспечивающие поступление кислорода к головному мозгу.";;;;;;;1;;;;;;;;;;;;;;
"Костный мозг, место образования кроветворных клеток.";;;;;;;1;;;;;;;;;;;;;;
"Лимфатическая система, очищающая ткани от отходов и защищающая организм от инфекций.";;;;;;;1;;;;;;;;;;;;;;
"Тимус, орган, ответственный за развитие иммунитета у детей.";;;;;;;1;;;;;;;;;;;;;;
"Система нервов, служащая для передачи сигналов от органов к мозгу и обратно.";;;;;;;1;;;;;;;;;;;;;;
"Раковина слуховой системы, принимающая звуковые волны и передающая их к уху.";;;;;;;1;;;;;;;;;;;;;;
"Ресницы дыхательных путей, защищающие легкие от пыли и мелких частиц.";;;;;;;1;;;;;;;;;;;;;;
"Щитовидная железа, вырабатывающая гормоны, регулирующие обмен веществ.";;;;;;;1;;;;;;;;;;;;;;
"Ретина глаза, принимающая свет и преобразующая его в нервные импульсы.";;;;;;;1;;;;;;;;;;;;;;
"Миокард – толстый слой мышц сердца, обеспечивающий его сокращение и работу.";;;;;;;1;;;;;;;;;;;;;;
"Клетки панкреаса, продуцирующие инсулин и глюкагон для регулирования уровня сахара.";;;;;;;1;;;;;;;;;;;;;;
"Бронхи и бронхиолы, ветви дыхательной системы, передающие воздух к легким.";;;;;;;1;;;;;;;;;;;;;;
Желудочки сердца.;;;;;;;1;;;;;;;;;;;;;;
"Нейроны мозга, электрические сигналы, передающие информацию внутри головного мозга.";;;;;;;1;;;;;;;;;;;;;;
"Диафрагма, мышца, разделяющая грудную полость и брюшную полость, участвующая в дыхании.";;;;;;;1;;;;;;;;;;;;;;
"Гормоны эндокринной системы, регулирующие различные функции организма.";;;;;;;1;;;;;;;;;;;;;;
"Боковые желудочки мозга, обработка информации и управление движениями.";;;;;;;1;;;;;;;;;;;;;;
"Бронхиолы, мелкие ветви бронхов, доставляющие воздух к альвеолам.";;;;;;;1;;;;;;;;;;;;;;
Пульсирующие артерии.;;;;;;;1;;;;;;;;;;;;;;
"Травящие энзимы желудка, расщепляющие белки, жиры и углеводы пищи.";;;;;;;1;;;;;;;;;;;;;;
"Эмбриональные клетки в пупковине, обеспечивающие плод кислородом и питательными веществами.";;;;;;;1;;;;;;;;;;;;;;
"Мочеточники, трубки, переносящие мочу из почек в мочевой пузырь.";;;;;;;1;;;;;;;;;;;;;;
"Камеры глазного яблока, заполненные влагой и обеспечивающие форму глаза.";;;;;;;1;;;;;;;;;;;;;;
"Лимфатические узлы, фильтрующие лимфу и удаляющие инфекции и токсины.";;;;;;;1;;;;;;;;;;;;;;
"Эпителиальные клетки, покрывающие поверхность кожи, слизистых оболочек и внутренних органов.";;;;;;;1;;;;;;;;;;;;;;
"Кровь, жидкость, переносящая кислород, питательные вещества и отходы по организму.";;;;;;;;;;;;;;;;;;;1;;
"Паховые лимфатические узлы, фильтрующие лимфу из нижних конечностей и органов таза.";;;;;;;1;;;;;;;;;;;;;;
Альвеолы легких.;;;;;;;1;;;;;;;;;;;;;;
"Ствол мозга, контролирующий базовые функции организма, такие как дыхание и сердцебиение.";;;;;;;1;;;;;;;;;;;;;;
"Яичники, женские половые органы, производящие яйцеклетки и гормоны.";;;;;;;1;;;;;;;;;;;;;;
"Коленные суставы, соединяющие бедро с голенью и обеспечивающие подвижность ног.";;;;;;;1;;;;;;;;;;;;;;
"Базальные ядра, участвующие в контроле движений и моторных функций.";;;;;;;1;;;;;;;;;;;;;;
"Мочевой пузырь, орган, хранящий мочу перед её выделением из организма.";;;;;;;1;;;;;;;;;;;;;;
"Кислотно-щелочной баланс внутренней среды, поддерживающий оптимальные условия для работы органов.";;;;;;;1;;;;;;;;;;;;;;
"Гемоглобин, белок, переносящий кислород.";;;;;;;1;;;;;;;;;;;;;;
"Сухожильные структуры, соединяющие мышцы с костями и обеспечивающие движение.";;;;;;;1;;;;;;;;;;;;;;
Красная костный мозг.;;;;;;;1;;;;;;;;;;;;;;
"Гладкие мышцы кишечника, обеспечивающие перистальтику и перемещение пищи.";;;;;;;1;;;;;;;;;;;;;;
"Бронхиальные хрящи, обеспечивающие прочность и устойчивость дыхательных путей.";;;;;;;1;;;;;;;;;;;;;;
"Интерстициальная жидкость, окружающая клетки и обеспечивающая им питание и удаление отходов.";;;;;;;1;;;;;;;;;;;;;;
"Подкожная жировая ткань, служащая резервным источником энергии и защищающая органы.";;;;;;;1;;;;;;;;;;;;;;
"Меланоциты кожи, производящие пигмент меланин и определяющие цвет кожи.";;;;;;;1;;;;;;;;;;;;;;
"Ретикулярная формация, регулирующая уровень бодрствования и сон.";;;;;;;1;;;;;;;;;;;;;;
"Ретикулоэндотелиальная система, участвующая в иммунном ответе и фагоцитозе.";;;;;;;1;;;;;;;;;;;;;;
"Каротидные синусы, рецепторы внутри сонных артерий.";;;;;;;1;;;;;;;;;;;;;;
"Белое вещество мозга, содержащее нервные волокна и обеспечивающее передачу нервных сигналов.";;;;;;;1;;;;;;;;;;;;;;
"Железы внутренней секреции, вырабатывающие гормоны для регулирования различных функций организма.";;;;;;;1;;;;;;;;;;;;;;
"Сосудистые клапаны, обеспечивающие однонаправленное движение.";;;;;;;1;;;;;;;;;;;;;;
"Сетчатка глаза, содержащая фоторецепторные клетки и принимающая световые сигналы.";;;;;;;1;;;;;;;;;;;;;;
"Адипоциты, клетки жировой ткани, хранящие энергию и участвующие в терморегуляции.";;;;;;;1;;;;;;;;;;;;;;
"Межпозвонковые диски, амортизаторы, смягчающие нагрузку на позвоночник.";;;;;;;1;;;;;;;;;;;;;;
"Коллагеновые волокна, обеспечивающие прочность соединительной ткани и кожи.";;;;;;;1;;;;;;;;;;;;;;
"Перистальтика желудка, волнообразные сокращения мышц стенок, перемешивающие и перемещающие пищу.";;;;;;;1;;;;;;;;;;;;;;
"Гематопоэтический островок в селезенке, место образования лейкоцитов и тромбоцитов.";;;;;;;1;;;;;;;;;;;;;;
"Лимфатические сосуды, переносящие лимфу из тканей к лимфатическим узлам.";;;;;;;1;;;;;;;;;;;;;;
"Бурый жир, участвующий в терморегуляции и обеспечивающий новорожденных детей дополнительным источником тепла.";;;;;;;1;;;;;;;;;;;;;;
"Слизистые железы в желудке, вырабатывающие слизь для защиты слизистой оболочки от кислоты и энзимов.";;;;;;;1;;;;;;;;;;;;;;
"Шейка матки, соединяющая тело матки с влагалищем и служащая проходом для сперматозоидов.";;;;;;;1;;;;;;;;;;;;;;
"Базальная температура, температура тела в состоянии покоя, отражающая активность метаболизма и репродуктивную функцию.";;;;;;;1;;;;;;;;;;;;;;
"Костные отростки, прикрепляющие мышцы и служащие точками для суставов.";;;;;;;1;;;;;;;;;;;;;;
"Экскреционные органы, такие как почки и печень, участвующие в удалении отходов и токсинов из организма.";;;;;;;1;;;;;;;;;;;;;;
"Шейка мочевого пузыря, участвующая в удержании мочи и контроле мочеиспускания.";;;;;;;1;;;;;;;;;;;;;;
"Внутренний слой сосудистых стенок, содержащий эндотелий.";;;;;;;1;;;;;;;;;;;;;;
"Синовиальная жидкость в суставах, обеспечивающая смазку и амортизацию поверхностей костей.";;;;;;;1;;;;;;;;;;;;;;
"Каналы Шлемма, отводящие влагу из передней камеры глаза и участвующие в давлении внутри глаза.";;;;;;;1;;;;;;;;;;;;;;
"Камера глазного дна, содержащая стекловидное тело и зрачок и обеспечивающая прохождение света к сетчатке.";;;;;;;1;;;;;;;;;;;;;;
"Внутренние гормональные рецепторы, реагирующие на уровень гормонов и регулирующие метаболизм и функции органов.";;;;;;;1;;;;;;;;;;;;;;
"Бронхоальвеолярные клапаны, защищающие легкие от обратного потока воздуха и помогающие поддерживать их объем во время дыхания.";;;;;;;1;;;;;;;;;;;;;;
"Интимные мускулатура сосудов, регулирующая диаметр сосудов и обеспечивающая контроль кровотока и артериального давления.";;;;;;;1;;;;;;;;;;;;;;
"Железы внутренней секреции в подкожной жировой ткани, вырабатывающие гормоны, участвующие в регуляции аппетита и метаболизма.";;;;;;;1;;;;;;;;;;;;;;
"Нейромышечные соединения, передающие нервные импульсы к мышцам и обеспечивающие их сокращение и движение.";;;;;;;1;;;;;;;;;;;;;;
"Проксимальные и дистальные концы нейронов, соединяющие нейроны и передающие сигналы между ними.";;;;;;;1;;;;;;;;;;;;;;
"Миофибриллы, структурные элементы мышечных волокон, обеспечивающие их сокращение при стимуляции нервной системой.";;;;;;;1;;;;;;;;;;;;;;
"Хромосомы в ядре клетки, содержащие генетическую информацию и регулирующие процессы роста, развития и функционирования клеток и организма.";;;;;;;1;;;;;;;;;;;;;;
Клапаны сердца.;;;;;;;1;;;;;;;;;;;;;;
"Карбонатные кристаллы во внутреннем ухе, участвующие в регуляции равновесия и координации движений.";;;;;;;1;;;;;;;;;;;;;;
"Слизистые железы в полости рта, выделяющие слину для увлажнения и начального расщепления пищи.";;;;;;;1;;;;;;;;;;;;;;
"Глубокие сухожильные сумки, окружающие суставы и снижающие трение при движении.";;;;;;;1;;;;;;;;;;;;;;
"Лизосомы в клетках, содержащие ферменты для разложения и переработки отходов и биологических макромолекул.";;;;;;;1;;;;;;;;;;;;;;
"Межмышечные сосуды и нервы, обеспечивающие питание и иннервацию мышц и контролирующие их сокращение и движение.";;;;;;;1;;;;;;;;;;;;;;
"Клетки-макрофаги в иммунной системе, фагоцитирующие и уничтожающие микроорганизмы, инфицированные и поврежденные клетки.";;;;;;;1;;;;;;;;;;;;;;
"Параширокая кость, соединяющая кости таза и служащая опорой для внутренних органов.";;;;;;;1;;;;;;;;;;;;;;
"Гормоны гипофиза, регулирующие функцию других эндокринных желез и метаболические процессы в организме.";;;;;;;1;;;;;;;;;;;;;;
Контуры мужского полового члена.;;;;;;;;1;;;;;;;;;;;;;
Абстрактное изображение влагалища или женских половых губ.;;;;;;;;1;;;;;;;;;;;;;
Пара занимается сексом в миссинерской позе.;;;;;;;;1;;;;;;;;;;;;;
Половые органы в возбужденном состоянии.;;;;;;;;1;;;;;;;;;;;;;
Образ половых губ или клитора.;;;;;;;;1;;;;;;;;;;;;;
Сцена сексуального акта или поза.;;;;;;;;1;;;;;;;;;;;;;
Секс на публике в Чешской республике.;;;;;;;;1;;;;;;;;;;;;;
Девушка делает минет.;;;;;;;;1;;;;;;;;;;;;;
Девушка сидит на лице у мужчины.;;;;;;;;1;;;;;;;;;;;;;
Контуры женской груди или сосков.;;;;;;;;1;;;;;;;;;;;;;
Силуэт человека в половом акте.;;;;;;;;1;;;;;;;;;;;;;
Фаллические символы или символы сексуального влечения.;;;;;;;;1;;;;;;;;;;;;;
Оральные ласки.;;;;;;;;1;;;;;;;;;;;;;
Парень ласкает половые губы.;;;;;;;;1;;;;;;;;;;;;;
Контуры женских бедер или ягодиц.;;;;;;;;1;;;;;;;;;;;;;
Контуры полового члена и вульвы.;;;;;;;;1;;;;;;;;;;;;;
Мужчина стимулирует клитор.;;;;;;;;1;;;;;;;;;;;;;
Проникновение полового члена в вагину.;;;;;;;;1;;;;;;;;;;;;;
Силуэт человека в интимной позе или положении.;;;;;;;;1;;;;;;;;;;;;;
Стимуляция анального отверстия.;;;;;;;;1;;;;;;;;;;;;;
Изображение половых органов в половом акте.;;;;;;;;1;;;;;;;;;;;;;
Узор в виде фаллоса.;;;;;;;;1;;;;;;;;;;;;;
Парень вводит член в партнершу.;;;;;;;;1;;;;;;;;;;;;;
Парень делает кунилингус.;;;;;;;;1;;;;;;;;;;;;;
Девушка стимулирует половой член.;;;;;;;;1;;;;;;;;;;;;;
Процесс соития в позе наездницы.;;;;;;;;1;;;;;;;;;;;;;
Образ эротических игрушек.;;;;;;;;1;;;;;;;;;;;;;
Изображение секса в миссионерской позе.;;;;;;;;1;;;;;;;;;;;;;
Половые органы.;;;;;;;;1;;;;;;;;;;;;;
Этот узор с обнаженным человеческим телом.;;;;;;;;1;;;;;;;;;;;;;
"Вульва, прикрытая нижним бельём.";;;;;;;;1;;;;;;;;;;;;;
"Сексуальные игрушки, например фаллотимитатор.";;;;;;;;1;;;;;;;;;;;;;
Девушка мастурбирует клиторальным стимулятором.;;;;;;;;1;;;;;;;;;;;;;
Парень занимается сексом с девушкой.;;;;;;;;1;;;;;;;;;;;;;
Сложная поза из камасутры.;;;;;;;;1;;;;;;;;;;;;;
Форма на картине напоминает половые ограны мужчины.;;;;;;;;1;;;;;;;;;;;;;
Форма на картине напоминает половые ограны женщины.;;;;;;;;1;;;;;;;;;;;;;
Парень ласкает соски девушке.;;;;;;;;1;;;;;;;;;;;;;
Фигура на рисунке напоминает силуэт человека в половом акте.;;;;;;;;1;;;;;;;;;;;;;
Женщина сжимает бедра мужчины.;;;;;;;;1;;;;;;;;;;;;;
Мужчина сжимает грудь женщины.;;;;;;;;1;;;;;;;;;;;;;
Половой член в эрегированном состоянии.;;;;;;;;1;;;;;;;;;;;;;
Изображение полового акта.;;;;;;;;1;;;;;;;;;;;;;
Фигура на рисунке напоминает половые органы или их абстрактное изображение.;;;;;;;;1;;;;;;;;;;;;;
Изображение клитора и половых губ девушки.;;;;;;;;1;;;;;;;;;;;;;
"Женские половые органы, такие как вульва.";;;;;;;;1;;;;;;;;;;;;;
Игрушки для сексуального удовлетворения.;;;;;;;;1;;;;;;;;;;;;;
Процесс орального секса.;;;;;;;;1;;;;;;;;;;;;;
Женские ягодицы или грудь.;;;;;;;;1;;;;;;;;;;;;;
Изображение мужских ягодиц.;;;;;;;;1;;;;;;;;;;;;;
Мужчина сжимает женские ягодицы.;;;;;;;;1;;;;;;;;;;;;;
Процесс сексуального контакта.;;;;;;;;1;;;;;;;;;;;;;
Процесс стимуляции сосков.;;;;;;;;1;;;;;;;;;;;;;
Мужские тестикулы и половой член.;;;;;;;;1;;;;;;;;;;;;;
Женская грудь в нижнем белье.;;;;;;;;1;;;;;;;;;;;;;
Пара занимается оральным сексом.;;;;;;;;1;;;;;;;;;;;;;
Контуры человека в сексуальной позе.;;;;;;;;1;;;;;;;;;;;;;
Процесс интимной близости.;;;;;;;;1;;;;;;;;;;;;;
Мастурбирующий мужчина.;;;;;;;;1;;;;;;;;;;;;;
Эротическая поза в сексе.;;;;;;;;1;;;;;;;;;;;;;
Женщина ласкает головку члена.;;;;;;;;1;;;;;;;;;;;;;
Символы сексуальной аттракции.;;;;;;;;1;;;;;;;;;;;;;
Сексуальная стимуляция клитора.;;;;;;;;1;;;;;;;;;;;;;
Процесс сексуальной прелюдии.;;;;;;;;1;;;;;;;;;;;;;
Девушка сидит с раздвинутыми ногами.;;;;;;;;1;;;;;;;;;;;;;
Раздвинутые ноги девушки.;;;;;;;;1;;;;;;;;;;;;;
Эротические сцены.;;;;;;;;1;;;;;;;;;;;;;
Мозаика из камней.;;;;;;;;;1;;;;;;;;;;;;
Глиняные горшки.;;;;;;;;;1;;;;;;;;;;;;
"Скульптура из металла, изображающая танцующую пару.";1;;;;;;;;1;;;;;;;;;;;;
Роспись на керамических плитках.;;;;;;;;;1;;;;;;;;;;;;
Коллаж из разноцветных кусочков ткани.;;;;;;;;;1;;;;;;;;;;;;
"Изображение натюрморта, созданное масляными красками на холсте.";;;;;;;;;1;;;;;;;;;;;;
"Вязаный коврик, украшенный геометрическим узором.";;;;;;;;;1;;;;;;;;;;;;
"Бижутерия, сделанная из стеклянных бусин.";;;;;;;;;1;;;;;;;;;;;;
"Плетеная корзина из натуральных материалов, украшенная лентами и цветами.";;;;;;;;;1;;;;;;1;;;;;;
"Деревянная фигурка животного, вырезанная вручную.";;;;;;;;;1;;;;;;;;;;;;
"Картина, созданная в технике акварели, изображает осенний лес.";;;;;;;;;1;;;;1;;;;;;;;
Поделка из природных материалов - сосновых шишек и сухих листьев.;;;;;;;;;1;;;;;;1;;;;;;
"Ручная вышивка на ткани, изображающая народные мотивы.";;;;;;;;;1;;;;;;;;;;;;
"Миниатюрная фигурка человечка, вылепленная из полимерной глины.";1;;;;;;;;1;;;;;;;;;;;;
"Живописная картина, на которой изображен городской пейзаж.";;;;;;;;;1;;;;1;;;;;;;;
"Фотография сделана вручную на пленку, изображает прекрасный закат на море.";;;;;;;;;1;;;;1;;;;;;;;
"Роспись на камнях, которая представляет собой абстрактные узоры и фигуры.";;;;;;;;;1;;;;;;;;;;;;
Кованая решетка на окне.;;;;;;;;;1;;;;;;;;;;;;
"Детская игрушка, сделанная вручную из текстиля.";;;;;;;;;1;;;;;;;;;;;;
Глиняный светильник.;;;;;;;;;1;;;;;;;;;;;;
"Картина, на которой изображена природа весной.";;;;;;;;;1;;;;1;;;;;;;;
"Витражное окно, созданное вручную из стекла.";;;;;;;;;1;;;;;;;;;;;;
"Деревянная шкатулка, украшенная ручной резьбой.";;;;;;;;;1;;;;;;;;;;;;
"Мозаичный коврик, сделанный из кусочков керамической плитки.";;;;;;;;;1;;;;;;;;;;;;
"Поделка из глины, выполненная в технике лепки.";;;;;;;;;1;;;;;;;;;;;;
"Ручная роспись на стене, изображающая фантазийный лес.";;;;;;;;;1;;;;1;;;;;;;;
Макраме из нитей.;;;;;;;;;1;;;;;;;;;;;;
"Картина, на которой изображена улица старого города.";;;;;;;;;1;;;;1;;;;;;;;
"Брошь, сделанная вручную из бисера и нитей.";;;;;;;;;1;;;;;;;;;;;;
"Вязаная игрушка, изображает сову.";;;;1;;;;;1;;;;;;;;;;;;
"Кованая лавочка, украшенная резными узорами.";;;;;;;;;1;;;;;;;;;;;;
"Живопись на стекле, выполненная ручной росписью, изображает цветы.";;;;;;;;;1;;;;;;1;;;;;;
Миниатюрная кукольная мебель.;;;;;;;;;1;;;;;;;;;;;;
"Роспись на камнях, изображающая морские волны и ракушки.";;;;;;;;;1;;;;1;;;;;;;;
Фоторамка.;;;;;;;;;1;;;;;;;;;;;;
"Картина, изображающая закат на пляже.";;;;;;;;;1;;;;1;;;;;;;;
"Ручная вышивка на постельном белье, изображающая цветы и птиц.";;;;1;;;;;1;;;;;;1;;;;;;
"Миниатюрная фигурка животного, изготовленная из полимерной глины.";;;;1;;;;;1;;;;;;;;;;;;
"Картина, на которой изображены дикие животные в дикой природе.";;;;1;;;;;1;;;;1;;;;;;;;
"Кованая скульптура, изображающая животное.";;;;1;;;;;1;;;;;;;;;;;;
Керамическая ваза.;;;;;;;;;1;;;;;;;;;;;;
"Поделка из дерева, изображает лошадь с прекрасным рисунком на гриве.";;;;1;;;;;1;;;;;;;;;;;;
"Фоторамка, украшенная натуральными материалами.";;;;;;;;;1;;;;;;;;;;;;
"Ручная вышивка на подушках, изображающая цветы.";;;;;;;;;1;;;;;;1;;;;;;
"Миниатюрная кукольная мебель, сделанная из текстиля.";;;;;;;;;1;;;;;;;;;;;;
